,,,Poverty Line,,,,Head count Ratio,,,,,
Sr. No.,,State,2004-05(61st  Rnd),,2011-12(68 Rnd),,2004-05(61st  Rnd),,,2011-12(61st  Rnd),,
,State code,,Rural ,Urban,Rural ,Urban,Rural ,Urban,Total,Rural ,Urban,Total
,,,2,68,27,MHR,1126,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1126 & state_com==27,
,,,2,68,14,MNP,1170,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1170 & state_com==14,
,,,2,68,17,MGL,1154,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1154 & state_com==17,
,,,2,68,15,MZR,1155,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1155 & state_com==15,
,,,2,68,13,NGL,1302,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1302 & state_com==13,
,,,2,68,21,ORS,861,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<861 & state_com==21,
,,,2,68,3,PUN,1155,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1155 & state_com==3,
,,,2,68,8,RAJ,1002,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1002 & state_com==8,
,,,2,68,11,SKM,1226,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1226 & state_com==11,
,,,2,68,33,TAN,937,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<937 & state_com==33,
,,,2,68,16,TRP,920,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<920 & state_com==16,
,,,2,68,5,UTC,941,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<941 & state_com==5,
,,,2,68,9,UTP,1082,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1082 & state_com==9,
,,,2,68,19,WEB,981,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<981 & state_com==19,
,,,Poverty Line,
Sr. No.,,State,2011-12(68 Rnd),
,State code,,Rural ,Urban
1,28,Andhra Pradesh,860,"1,009"
2,12,Arunachal Pradesh,930,"1,060"
3,18,Assam,828,"1,008"
4,10,Bihar,778,923
5,22,Chhatisgarh,738,849
6,7,Delhi,"1,145","1,134"
7,30,Goa,"1,090","1,134"
8,24,Gujarat,932,"1,152"
9,6,Haryana,"1,015","1,169"
10,2,Himachal Pradesh,913,"1,064"
11,1,Jammu & Kashmir,891,988
12,20,Jharkhand,748,974
13,29,Karnataka,902,"1,089"
14,32,Kerala,"1,018",987
15,23,Madhya Pradesh,771,897
16,27,Maharashtra,967,"1,126"
17,14,Manipur,"1,118","1,170"
18,17,Meghalaya,888,"1,154"
19,15,Mizoram,"1,066","1,155"
20,13,Nagaland,"1,270","1,302"
21,21,Orissa,695,861
22,3,Punjab,"1,054","1,155"
23,8,Rajasthan,905,"1,002"
24,11,Sikkim,930,"1,226"
25,61,Tamil Nadu,880,937
26,16,Tripura,798,920
27,9,Uttar Pradesh,768,941
27,5,Utarakhand,880,1082
29,19,West Bengal,783,981
30,34,Pondicherry,"1,301","1,309"
,,India,816,"1,000"
